epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,360.312,0.80767,1.44348,0.91732,0.6321,0.70713,0.72407,0.57904,0.83008,1.13313,0.94149,0.000213337,0.000213337,0.000213337
76,365.031,0.76981,1.42309,0.90822,0.73418,0.62286,0.7373,0.5831,0.83828,1.10212,0.93744,0.000210585,0.000210585,0.000210585
77,369.337,0.78047,1.40625,0.91115,0.66981,0.68651,0.75019,0.59992,0.82801,1.06866,0.93523,0.000207833,0.000207833,0.000207833
78,373.505,0.79344,1.35701,0.90755,0.72327,0.65503,0.77624,0.62038,0.83055,1.08624,0.94191,0.000205081,0.000205081,0.000205081
79,377.952,0.78605,1.36816,0.91626,0.65564,0.75622,0.76407,0.61106,0.84332,1.03902,0.94384,0.000202328,0.000202328,0.000202328
80,383.291,0.7729,1.39729,0.91006,0.71756,0.65905,0.77014,0.62107,0.83279,1.05725,0.93496,0.000199576,0.000199576,0.000199576
81,388.245,0.80278,1.35514,0.92426,0.66366,0.66677,0.73585,0.58494,0.83932,1.12561,0.93423,0.000196824,0.000196824,0.000196824
82,392.748,0.76091,1.31452,0.9081,0.65738,0.72569,0.76931,0.60744,0.83722,1.02167,0.9337,0.000194072,0.000194072,0.000194072
83,396.958,0.76774,1.2884,0.90522,0.67271,0.69307,0.76505,0.60693,0.85391,1.0716,0.94254,0.00019132,0.00019132,0.00019132
84,401.35,0.76151,1.32572,0.90523,0.75615,0.65612,0.79028,0.63276,0.83417,1.00227,0.93276,0.000188567,0.000188567,0.000188567
85,406.189,0.76241,1.26547,0.90589,0.67255,0.698,0.77462,0.62631,0.8269,1.00636,0.93792,0.000185815,0.000185815,0.000185815
86,410.563,0.75606,1.28187,0.89772,0.66426,0.69656,0.76314,0.61041,0.84704,1.02879,0.94235,0.000183063,0.000183063,0.000183063
87,416.317,0.76539,1.27202,0.90406,0.78387,0.72091,0.78573,0.63247,0.82577,0.96702,0.93658,0.000180311,0.000180311,0.000180311
88,420.995,0.74484,1.27941,0.90988,0.67925,0.70529,0.77185,0.62194,0.82628,0.99438,0.94327,0.000177559,0.000177559,0.000177559
89,425.345,0.75872,1.23012,0.90171,0.78375,0.63371,0.78595,0.63037,0.83541,0.97219,0.93926,0.000174806,0.000174806,0.000174806
90,429.61,0.74615,1.23057,0.9019,0.81747,0.69913,0.79255,0.63164,0.81241,0.98228,0.93076,0.000172054,0.000172054,0.000172054
91,433.675,0.74231,1.20031,0.89081,0.72195,0.7384,0.80363,0.64925,0.82216,0.95435,0.93278,0.000169302,0.000169302,0.000169302
